Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.17.229-172.19.19.172-52377-7680-6,172.19.17.229,52377,172.19.19.172,7680,6,22/04/2019 10:30:16 PM,2313,2,3,75.0,0.0,75.0,0.0,37.5,53.033008588991066,0.0,0.0,0.0,0.0,32425.421530479896,2161.6947686986596,578.25,311.07059756053235,791.0,117.0,676.0,676.0,0.0,676.0,676.0,2313.0,1156.5,516.8950570473662,1522.0,791.0,0,0,0,0,40,84,864.6779074794639,1297.0168612191958,0.0,75.0,12.5,30.618621784789728,937.5,0,1,0,0,0,0,0,0,1.0,15.0,37.5,0.0,0,0,0,0,0,0,2,75,3,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
172.19.17.229-172.19.19.172-52377-7680-6,172.19.17.229,52377,172.19.19.172,7680,6,22/04/2019 10:30:16 PM,641,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.1248049921996,641.0,0.0,641.0,641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1560.0624024960998,1560.0624024960998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60204-8080-6,172.31.2.3,8080,172.19.19.172,60204,6,22/04/2019 10:30:29 PM,791,2,3,1059.0,1460.0,1059.0,0.0,529.5,748.8260812765539,1460.0,0.0,486.66666666666663,842.9313930168537,3184576.485461441,6321.112515802781,197.75,300.9422702114145,647.0,11.0,658.0,658.0,0.0,658.0,658.0,144.0,72.0,31.11269837220809,94.0,50.0,0,0,0,0,40,60,2528.4450063211125,3792.6675094816687,0.0,1460.0,663.1666666666666,741.0723086627017,549188.1666666666,0,0,0,0,1,0,0,0,1.0,795.8,529.5,486.6666666666667,0,0,0,0,0,0,2,1059,3,1460,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60205-8080-6,172.31.2.3,8080,172.19.19.172,60205,6,22/04/2019 10:30:29 PM,5,2,1,1059.0,1460.0,1059.0,0.0,529.5,748.8260812765539,1460.0,1460.0,1460.0,0.0,5.0379999999999994E8,600000.0,2.5,0.7071067811865476,3.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,20,399999.99999999994,199999.99999999997,0.0,1460.0,994.75,689.5821802608688,475523.5833333333,0,0,0,0,1,0,0,0,0.0,1326.3333333333333,529.5,1460.0,0,0,0,0,0,0,2,1059,1,1460,-1,1019,1,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60239-8080-6,172.19.19.172,60239,172.31.2.3,8080,6,22/04/2019 10:30:14 PM,15310683,8,12,917.0,4648.0,517.0,0.0,114.625,194.59697362204054,1460.0,0.0,387.3333333333333,615.3092841421419,363.47170142573003,1.3062774534617432,805825.4210526315,3469004.7376813246,1.5130673E7,7.0,1.5310359E7,2187194.1428571427,5707645.136193777,1.5130673E7,508.0,179965.0,16360.454545454544,30691.2032457629,97626.0,7.0,0,0,0,0,160,264,0.5225109813846972,0.7837664720770459,0.0,1460.0,265.00000000000006,492.97302157420336,243022.39999999997,0,1,0,0,0,0,0,0,1.0,278.25,114.625,387.3333333333333,0,0,0,0,0,0,8,917,12,4648,-1,1009,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60238-8080-6,172.19.19.172,60238,172.31.2.3,8080,6,22/04/2019 10:30:14 PM,15311199,6,8,868.0,264.0,530.0,0.0,144.66666666666669,219.22560677682404,156.0,0.0,33.0,55.9412957610795,73.93281218538144,0.9143634015859894,1177784.5384615385,4166225.8452351214,1.5043411E7,52.0,1.5310559E7,3062111.8,6697876.941272003,1.5043411E7,613.0,227565.0,32509.285714285717,39408.46789593275,76198.0,588.0,0,0,0,0,120,184,0.39187002925113834,0.5224933723348512,0.0,530.0,75.46666666666667,149.05888896993827,22218.55238095238,0,1,0,0,0,0,0,0,1.0,80.85714285714286,144.66666666666666,33.0,0,0,0,0,0,0,6,868,8,264,-1,1010,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60240-8080-6,172.19.19.172,60240,172.31.2.3,8080,6,22/04/2019 10:30:14 PM,15309664,6,8,868.0,264.0,530.0,0.0,144.66666666666669,219.22560677682404,156.0,0.0,33.0,55.9412957610795,73.94022494549849,0.9144550788312533,1177666.4615384615,4177030.745906427,1.5079375E7,79.0,1.5309412E7,3061882.4,6718078.970278431,1.5079375E7,1714.0,189773.0,27110.428571428572,32591.46330384253,62428.0,173.0,0,0,0,0,120,184,0.39190931949910857,0.5225457593321448,0.0,530.0,75.46666666666667,149.05888896993827,22218.55238095238,0,1,0,0,0,0,0,0,1.0,80.85714285714286,144.66666666666666,33.0,0,0,0,0,0,0,6,868,8,264,-1,1010,3,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60223-8080-6,172.19.19.172,60223,172.31.2.3,8080,6,22/04/2019 10:30:31 PM,798,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3759.3984962406016,399.0,561.4427842621187,796.0,2.0,0,0,0,0,0,798.0,399.0,561.4427842621187,796.0,2.0,0,0,0,0,0,60,0.0,3759.3984962406016,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,1013,0,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60255-8080-6,172.19.19.172,60255,172.31.2.3,8080,6,22/04/2019 10:30:30 PM,980281,8,14,2048.0,6690.0,1102.0,0.0,256.0,390.0714220315483,1460.0,0.0,477.8571428571429,673.8926937112188,8913.77064331554,22.442544535699458,46680.04761904762,91698.68145588365,309377.0,1.0,979675.0,139953.57142857142,133760.7706402954,337496.0,296.0,618853.0,47604.07692307692,84685.28487726537,285014.0,1.0,0,0,0,0,160,304,8.160925285708894,14.281619249990564,0.0,1460.0,379.91304347826093,578.8024402351241,335012.2648221344,0,1,0,0,0,0,0,0,1.0,397.1818181818182,256.0,477.85714285714283,0,0,0,0,0,0,8,2048,14,6690,-1,991,4,0,0,0,0,0,0,0,0,0,No Label
172.19.19.172-172.31.2.3-60255-8080-6,172.31.2.3,8080,172.19.19.172,60255,6,22/04/2019 10:30:31 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,991,0,0,0,0,0,0,0,0,0,0,No Label
