Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.167.195-192.168.43.37-443-54610-17,192.168.43.37,54610,172.217.167.195,443,17,03/05/2019 01:46:01 PM,4000375,5,1,5460.0,1350.0,1350.0,60.0,1092.0,576.9055381949457,1350.0,1350.0,1350.0,0.0,1702.3404055869762,1.4998593881823579,800075.0,545368.9709261062,1520898.0,190094.0,3810281.0,952570.25,491464.8961166165,1520898.0,381196.0,0,0,0,0,0,0,0,0,0,40,8,1.2498828234852983,0.24997656469705964,60.0,1350.0,1165.7142857142858,487.57417018190307,237728.5714285714,0,0,0,0,0,0,0,0,0.0,1360.0,1092.0,1350.0,0,0,0,0,0,0,5,5460,1,1350,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
172.217.167.193-192.168.43.37-443-54609-17,192.168.43.37,54609,172.217.167.193,443,17,03/05/2019 01:46:01 PM,4000478,5,1,5460.0,1350.0,1350.0,60.0,1092.0,576.9055381949457,1350.0,1350.0,1350.0,0.0,1702.2965755592206,1.4998207714178156,800095.6,559561.7118971776,1665443.0,208717.0,3791761.0,947940.25,521304.9098217376,1665443.0,416774.0,0,0,0,0,0,0,0,0,0,40,8,1.2498506428481795,0.2499701285696359,60.0,1350.0,1165.7142857142858,487.57417018190307,237728.5714285714,0,0,0,0,0,0,0,0,0.0,1360.0,1092.0,1350.0,0,0,0,0,0,0,5,5460,1,1350,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-224.0.0.252-58843-5355-17,192.168.43.37,58843,224.0.0.252,5355,17,03/05/2019 01:46:00 PM,423364,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,103.9294791243469,4.724067232924859,423364.0,0.0,423364.0,423364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3620336164624294,2.3620336164624294,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-111.221.29.254-54745-443-6,192.168.43.37,54745,111.221.29.254,443,6,03/05/2019 01:46:00 PM,3001345,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666367911719579,3001345.0,0.0,3001345.0,3001345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.3331839558597895,0.3331839558597895,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-14.139.236.213-54734-443-6,192.168.43.37,54734,14.139.236.213,443,6,03/05/2019 01:46:04 PM,178,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11235.955056179775,178.0,0.0,178.0,178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5617.9775280898875,5617.9775280898875,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.255-192.168.43.37-137-137-17,192.168.43.37,137,192.168.43.255,137,17,03/05/2019 01:46:00 PM,1509958,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,99.3405114579346,1.986810229158692,754979.0,5574.829862874741,758921.0,751037.0,751037.0,751037.0,0.0,751037.0,751037.0,0,0,0,0,0,0,0,0,0,16,8,1.3245401527724614,0.6622700763862307,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-111.221.29.254-54743-443-6,192.168.43.37,54743,111.221.29.254,443,6,03/05/2019 01:46:00 PM,3000376,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666583121582095,3000376.0,0.0,3000376.0,3000376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.3332915607910475,0.3332915607910475,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-216.58.221.36-54613-443-17,192.168.43.37,54613,216.58.221.36,443,17,03/05/2019 01:46:04 PM,1990108,3,2,4050.0,1380.0,1350.0,1350.0,1350.0,0.0,1350.0,30.0,690.0,933.3809511662428,2728.4951369473415,2.5124264612774785,497527.0,348511.7746466155,938501.0,150360.0,901247.0,450623.5,212128.49882205832,600621.0,300626.0,1990108.0,1990108.0,0.0,1990108.0,1990108.0,0,0,0,0,24,16,1.507455876766487,1.0049705845109913,30.0,1350.0,1130.0,538.8877434122992,290400.0,0,0,0,0,0,0,0,0,0.0,1356.0,1350.0,690.0,0,0,0,0,0,0,3,4050,2,1380,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-23.111.9.35-54735-443-6,192.168.43.37,54735,23.111.9.35,443,6,03/05/2019 01:46:04 PM,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20833.333333333332,20833.333333333332,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-216.58.221.36-60103-443-17,192.168.43.37,60103,216.58.221.36,443,17,03/05/2019 01:46:00 PM,4000788,6,1,6404.0,1350.0,1350.0,60.0,1067.3333333333333,519.5254244660858,1350.0,1350.0,1350.0,0.0,1938.118190716429,1.7496553179023733,666798.0,535097.6828355734,1640991.0,213466.0,3787322.0,757464.4,544296.7408067038,1640991.0,312559.0,0,0,0,0,0,0,0,0,0,48,8,1.4997045582020343,0.24995075970033903,60.0,1350.0,1138.0,458.1615435629665,209912.0,0,0,0,0,0,0,0,0,0.0,1300.5714285714287,1067.3333333333333,1350.0,0,0,0,0,0,0,6,6404,1,1350,-1,-1,6,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,03/05/2019 01:46:06 PM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-14.139.236.213-54733-443-6,192.168.43.37,54733,14.139.236.213,443,6,03/05/2019 01:46:04 PM,1689115,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368104007127993,563038.3333333333,974959.8527412979,1688825.0,127.0,1688952.0,1688952.0,0.0,1688952.0,1688952.0,1688988.0,1688988.0,0.0,1688988.0,1688988.0,0,0,0,0,40,40,1.1840520035639965,1.1840520035639965,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-111.221.29.254-54744-443-6,192.168.43.37,54744,111.221.29.254,443,6,03/05/2019 01:46:00 PM,3000033,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666593334139991,3000033.0,0.0,3000033.0,3000033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.33332966670699954,0.33332966670699954,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.166.206-192.168.43.37-443-54611-17,192.168.43.37,54611,172.217.166.206,443,17,03/05/2019 01:46:01 PM,4000087,5,1,5460.0,1350.0,1350.0,60.0,1092.0,576.9055381949457,1350.0,1350.0,1350.0,0.0,1702.4629714303715,1.4999673757095784,800017.4,622579.5175331421,1611246.0,159436.0,3840651.0,960162.75,588073.226754047,1611246.0,318842.0,0,0,0,0,0,0,0,0,0,40,8,1.2499728130913152,0.24999456261826308,60.0,1350.0,1165.7142857142858,487.57417018190307,237728.5714285714,0,0,0,0,0,0,0,0,0.0,1360.0,1092.0,1350.0,0,0,0,0,0,0,5,5460,1,1350,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
192.168.43.37-224.0.0.251-5353-5353-17,192.168.43.37,5353,224.0.0.251,5353,17,03/05/2019 01:46:00 PM,1009065,3,1,84.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,110.9938408328502,3.964065744030364,336355.0,578077.1184011698,1003858.0,882.0,1004740.0,502370.0,709211.1309673587,1003858.0,882.0,0,0,0,0,0,0,0,0,0,24,8,2.973049308022773,0.991016436007591,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,35.0,28.0,28.0,0,0,0,0,0,0,3,84,1,28,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
